seguridad.nombre_barrio,promedio_robos,casos_totales,nivel_geo,seguridad.codigo_barrio,seguridad.codigo_comuna,zona_clave,municipio_x,promedio_robos_municipio,casos_municipio,departamento,sector,comuna,municipio_y,promedio_arriendo_apartamento,rango_apartamento,promedio_arriendo_casa,rango_casa,promedio_arriendo_local,rango_local,indice_riesgo,nivel_riesgo,alerta
OLEODUCTO,1.25,10.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.029371376258773268,💎 Diamante,🟢 Segura
PABLO VI,1.0,1.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
PAJARITO,1.8333333333333333,22.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04307801851286746,🥇 Oro,🟢 Segura
PAJARITO SC,1.0,1.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
PALENQUE,1.5555555555555556,28.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.03655104601091785,🥇 Oro,🟢 Segura
PALERMO,1.0,6.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
PALMITAS SECTOR CENTRAL,1.0,1.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
PARQUE JUAN PABLO II,2.1724137931034484,63.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.05104542632559217,🥉 Bronce,🚨 Alerta Roja
PARQUE NORTE,3.212121212121212,106.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.07547553656799919,🧱 Cobre,🚨 Alerta Roja
PATIO BONITO,7.041666666666667,507.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.16545875292442275,🧱 Cobre,🚨 Alerta Roja
PEDREGAL,1.9166666666666667,46.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04503611026345235,🥈 Plata,🟠 Alerta Media
PEDREGAL ALTO,2.25,9.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.052868477265791886,🥉 Bronce,🚨 Alerta Roja
PERPETUO SOCORRO,4.0476190476190474,255.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.09510731359983725,🧱 Cobre,🚨 Alerta Roja
PICACHITO,2.0,2.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
PICACHO,2.0,36.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
PIEDRAS BLANCAS MATASANO,2.0,2.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
PLAYON DE LOS COMUNEROS,1.3333333333333333,4.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.03132946800935815,💎 Diamante,🟢 Segura
PLAZA DE FERIAS,2.176470588235294,37.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.051140749250569925,🥉 Bronce,🚨 Alerta Roja
POPULAR,1.6666666666666667,20.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.03916183501169769,🥇 Oro,🟢 Segura
POTRERITO,1.5,3.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.03524565151052792,🥇 Oro,🟢 Segura
PRADO,4.258426966292135,379.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.10006068855797816,🧱 Cobre,🚨 Alerta Roja
PROGRESO,2.0714285714285716,87.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04867256637168142,🥉 Bronce,🚨 Alerta Roja
PROGRESO NO2,1.0,1.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
